P30622
Q14191
P53355
O75161
Q2V2M9
Q9BZF9
Q9NXG0
Q5TB80
O75116
Q9NS87
Q9Y2I6
Q9UKE5
Q8WXR4
Q9HC77
Q68CZ1
Q9UM54
Q14203
Q92797
Q08211
O15357
Q96PY6
A8K8P3
Q9UL54
O95239
Q9UQE7
Q9UBN7
P29474
Q8N157
Q9Y613
Q66GS9
Q4L180
P18206
O95835
Q02763
Q6IQ23
Q12965
O00160
Q6ZU80
Q9NRM7
Q4VCS5
Q9UPN4
Q9Y3P9
Q8TDZ2
Q96DN5
Q15334
O00159
Q05397
O60566
Q9UBC5
Q9C099
Q96T76
P12036
Q6WCQ1
Q92834
O76041
O75665
Q86YT6
Q5HYA8
Q8N9B5
Q92974
Q8N960
Q16513
Q96G01
Q13563
Q2KHM9
Q02241
O15083
Q9NQC7
Q8N8E3
Q6P1N0
Q0P6D6
P52824
O95786
O60308
Q9NQS7
P02730
Q96CW5
P35221
Q8N137
Q9BSJ2
Q8NI77
P12814
O95235
Q3SYG4
P50570
Q8WUM4
Q8IW35
Q05193
Q9NRI5
Q16584
Q3KQU3
J3KN34
Q14511
Q9BVG8
Q9C0C4
P09327
Q8TD16
P16591
P07332
O75366
P22735
Q8N0W4
Q96JE9
O60447
Q96KG9
Q3KR16
P41002
Q13671
O15117
Q96ST8
P06396
O15553
P35222
O43264
Q674X7
Q86UE8
Q8TED9
Q13618
Q08J23
P18074
Q8WXW3
O75154
Q08AE8
Q14244
Q9NR64
Q9ULW0
P14923
P35611
Q02156
Q9UJV3
Q9UBT7
Q96AQ6
Q8NEP3
Q08426
Q9NZQ3
Q96ED9
Q9Y6D9
Q86VS8
Q9C0H6
Q9Y6U3
Q8IWZ6
Q86SQ7
Q9UEY8
O00139
Q96MT8
Q96M02
Q86VQ0
P49418
Q86SG6
Q8TDR0
P16452
Q5JTW2
Q96NL6
Q8IUZ0
Q9NYY3
Q13586
Q96AC1
Q9BQL6
Q8N4N8
Q9BW19
Q96CN5
Q9BRK4
Q9UGJ1
O15344
Q13554
Q12934
Q3B820
Q8TAP6
Q6UVJ0
Q9BW27
Q16643
Q9H4B4
O14576
Q9Y6Y0
Q9Y6Q1
Q9Y5K6
Q13409
P42680
P12035
P13796
Q96N16
P20794
O43663
Q13042
Q96RU3
Q9UBP0
Q6NYC8
O60662
Q96EA4
Q68CZ6
P53350
Q07065
Q15642
P29536
Q9NSB2
Q15051
Q8NHQ1
Q9UJP4
P35240
O95198
Q9UJT2
P49023
O14682
Q13939
Q9UH77
Q9UHD8
P15311
Q92624
P07476
P35241
Q15650
P30305
Q01201
O00519
P26038
Q15942
Q14194
Q6PML9
Q15124
O43189
O43566
Q92558
Q9NXB0
O00463
P17987
Q9Y6N9
Q14247
Q9BYV6
P50990
P07947
Q9UKB1
Q8TAM2
O95954
P48643
Q13425
P50991
Q96IF1
P12931
Q9Y6F1
Q9H816
P09769
J3KPD6
Q9Y6G9
Q9P258
Q96RK4
Q9NSB4
P06239
Q9NZ20
O75602
P50995
Q9UPY6
P42768
Q86XR8
Q9BT92
Q9BTV5
Q99615
Q16658
O43237
O75449
Q9BR76
Q9BR77
O43790
Q9UQ03
O95995
Q15654
Q9UJT0
Q96TC7
P08729
P49768
P08670
Q53EZ4
Q9Y2H1
A8MVW5
P31146
Q9P2S5
Q9UJW0
Q9Y265
O43293
Q9UJT1
Q5T6F0
Q969Q6
Q9H4B7
P68363
P23258
Q71U36
Q13748
Q13509
O95219
Q9NS86
Q9NY65
Q9BQE3
P68366
P49810
Q13137
P51955
P68371
P07437
P04350
Q9BZV1
Q8TF74
P54274
Q16181
Q14141
P14635
Q6ZU15
J3KN87
Q9NVA2
O15379
P35900
P11801
Q4JDL3
P49841
P61158
P31323
Q13515
J3KNL2
J3KNQ4
Q13702
Q9NZA1
Q70YC5
P13861
O14965
Q13561
O95067
Q7L5Y9
P61160
Q02750
Q99689
Q9C0F1
Q8IXJ6
Q9BT81
P50552
Q6DKK2
P27361
P68032
P68133
P62736
P61163
P42025
Q9Y5B8
P63267
P63261
P60709
Q8WUP2
Q9BYV8
Q9NZU7
Q9HBI1
Q9H6D7
Q15019
P28482
P28289
Q9BYV2
Q96PF2
Q9UJZ1
P04899
P63096
P08754
Q969Q1
Q9NYT0
Q14994
P17612
P18848
P22694
Q6IBS0
P04083
Q9GZM8
Q9NZQ9
Q9NS23
Q96GD4
P06746
Q2I0M4
J3QSU0
Q9Y266
Q15555
Q1W6H9
Q9HC98
Q15628
Q99439
Q9UQB9
Q8TDX7
O15144
Q96M11
P24941
P05141
O00560
P51911
Q96GD0
Q9BQ89
P06748
Q6ZTW0
Q92629
P27105
P07951
P09493
Q9UPY8
Q53HL2
Q96CS2
Q15013
Q6IQ19
P45378
Q15691
Q96BD8
Q9Y696
Q9NQY0
Q9Y3A5
P67936
Q9Y224
Q99426
Q13432
Q86WH2
Q9NVX0
Q07817
O94811
Q9HBH0
Q9UI95
P19429
Q96FT9
Q9HAP6
P60880
P52565
Q9UPM9
J3KN38
Q15834
P52566
P12829
Q9NUP9
P62081
P61586
P60763
P60953
O00399
P62166
P19237
Q9NVJ2
P83916
P36404
Q13185
P48788
P36405
O15145
Q96NB1
Q93096
Q12798
P41208
P59998
O15182
P23528
H3BLT4
Q9Y2Y0
Q9Y3D0
Q5STX8
Q6P582
Q6NZ67
O15511
Q9BQI0
P62158
P16949
P55008
P07737
P37840
P35080
Q9GZQ8
Q9H492
Q8WVK7
O43805
Q9H0R8
P51808
P06702
J3KMW3
O75347
Q8TF09
P05109
P22528
P63167
Q9NRR3
P22532
A0A0A0MRF7
Q9UPV0
Q76I76
Q8WX93
Q8TEW0
O75122
Q9BX66
Q15468
Q6EMB2
Q9ULD2
Q70E73
Q96R06
Q99569
P42684
P27816
Q5TCZ1
P00519
Q9NQW6
Q69YQ0
Q9Y4F9
P52732
Q9P1A6
Q8WYL5
O14974
O43182
O00444
Q7Z4H7
Q9H8V3
Q14118
Q9H4G0
Q96GX5
Q8IWC1
P11171
Q8N0Z3
J3KNE4
Q9NV58
O75410
Q9NQ75
Q8N568
Q6P2H3
Q9UHB6
P10636
O43312
Q8IYA6
Q9NZJ0
Q684P5
Q8N556
O75112
P35612
Q8IZW8
O15231
O95171
Q8WWK9
Q96B97
Q9NX95
Q8NHV4
P35663
Q49MG5
Q01546
Q9H0H5
A0A087WXK8
Q6H8Q1
Q9UNH5
P13647
P13645
Q9P270
O60907
Q8NA72
Q9NPJ1
P48668
Q5FBB7
Q9NVR7
Q9UQB8
Q9NY99
P19013
P37198
Q9BZK7
Q9UHR4
Q8IVI9
Q9UMS4
Q12834
P05787
P08779
P02533
O43294
P13646
Q86X95
Q9UKT4
P05783
Q8IX90
Q9BT25
P43034
Q08495
O95684
Q00587
O15143
Q8TC76
J3KPG1
Q9H3Q1
Q9NSB8
Q96JY6
Q9NXR1
Q9Y448
O43597
P23490
P13805
Q96EY5
J3KPE3
Q7L0Q8
Q9H0N0
Q9UKI2
O14613
Q13257
P04792
O75935
Q96IK1
Q8TAP9
P63316
Q9H4X1
Q15121
P04921
O76070
Q9NP97
Q66K74
P53814
Q96JM3
Q5SZL2
Q8TF76
Q76N32
Q96L34
Q9P209
Q9NY27
Q8NBT0
Q92597
O76071
P60510
Q7Z7K6
Q96BM9
Q9H0F7
Q9BTE1
O76095
P01040
Q08AG7
