Q96QZ7
P13569
Q9ULB1
O94910
P35670
Q13018
Q6P1J6
Q86UL8
Q9NR16
P28827
Q96P48
Q92729
O14522
Q15262
P29475
O75882
O75161
Q9P241
Q68DA7
O75038
Q15075
P82279
P35125
P08581
O75116
P35916
Q9UHC9
P21860
Q96PE1
O15399
O15439
Q8IWK6
Q68CZ1
Q86UK5
Q15303
P12821
Q92823
P14616
Q9UM54
P19174
P21439
Q5IJ48
P08183
O15118
Q92797
P20020
O14654
Q2M3G0
P04626
A0A0A0MRF9
O43520
Q8TDY8
Q9P1Y5
Q01814
O60500
P23634
O14827
Q14957
Q16720
Q86XP1
P78504
Q9Y6M7
Q8TD43
Q16760
P00533
O00533
Q8TEW8
P29474
P49796
Q9P2M7
Q13255
Q9UDY2
Q9NPG4
Q9P2J2
Q4G0N8
P20701
Q9NZQ8
Q9Y2Q0
O14917
Q86VB7
Q9BXL7
Q7RTW8
Q5T5C0
Q9UHW9
Q96KG7
P35590
O15068
Q6UVM3
P18206
Q8NB49
P23229
Q9Y2A7
P55160
Q02763
Q6IQ23
Q08828
Q6U841
Q9NZB2
P40818
Q13574
Q8TCU5
P07949
P09619
P54289
Q93100
Q08462
P16234
Q0VD83
Q4VCS5
Q9Y6R1
Q8IZF5
P41180
O95206
O00159
Q08174
Q7Z410
Q8NDX1
P29323
Q05397
P06756
O15294
A6BM72
O60391
Q9UBC5
Q9Y4D2
Q9Y5Q5
Q86SJ6
Q9P2E7
Q07912
P54756
Q5VY43
Q9NZV1
Q13733
Q9UIQ6
P05023
Q92502
J3QSS1
P50993
P14735
B0I1T2
Q12860
P13637
Q9UEF7
Q14289
Q5JZY3
O43424
O43150
O43491
Q9BXL6
Q9NQ90
Q2TAC6
P54753
Q5HYA8
P57679
Q8IWY4
P54760
P13497
Q5XXA6
P54764
Q92974
Q16513
P29320
Q16478
O95886
O95782
P21709
P10721
P29317
P32418
Q9UL62
P07333
O95980
O94804
O60716
Q9HBX8
P15144
Q14114
Q7Z7M1
Q9H158
Q9UBS5
Q2M2I8
Q07075
Q9BQT9
Q8IY63
Q7Z553
Q9NQC7
Q9H4D0
P53618
Q9Y239
Q9NRU3
Q9Y5I0
Q9Y5H6
Q9UN73
Q9Y5I3
J3KMZ9
P52824
Q16512
O00408
O75899
O94973
Q05586
Q9UN72
Q6IWH7
O60330
Q9Y5H4
Q9Y210
Q9H3T2
Q9HCG7
Q5T6X5
O14936
P29074
P22413
O95786
O14786
A0FGR8
Q13003
P39086
Q14831
Q9BXP2
Q08345
Q15139
P02730
Q6UXD5
Q4KMQ2
O43184
Q13002
O00222
P19022
P42261
P35221
Q12959
Q96J02
P48058
Q8NI77
Q9H2K8
Q14574
P30530
Q08554
Q8NBS3
Q06418
Q3SYG4
A0FGR9
P42262
P12830
Q68EM7
Q14832
O15303
Q9H8M5
Q14416
Q9HBA0
P56945
Q96F46
O43490
B7ZLU9
O15169
P16499
Q9Y561
P13591
P51160
Q6PJF5
Q16832
Q8IXH8
Q03167
Q9NZ94
Q9H2Y9
Q9NP58
Q6ZN44
Q7RTX1
O00206
Q8TE23
J3KN34
Q9NTN9
O15394
Q13507
Q8NFZ4
Q8N271
Q14644
P48764
Q14511
Q9BVG8
Q14D04
O75077
Q12864
O75309
P22223
Q14BN4
Q9UJ99
P16591
Q16620
P11362
P07332
P21802
Q12851
Q86UP0
Q9Y5F3
Q8N0W4
Q8IU80
P22607
Q9BYF1
C9J798
O43374
P22455
Q9UN66
Q9HBT6
Q9UP52
Q9UN67
Q6AI14
Q9Y5E9
Q9Y5E7
Q9Y5F0
Q13033
O95267
Q9Y2C9
Q9Y5E6
P55287
Q9Y5F1
Q9Y5E4
Q9Y5E5
Q9Y5E3
P09958
J3KP20
Q9Y5E2
Q8NAC3
P55285
Q9ULB4
Q9Y6N8
Q9Y5E8
Q99835
Q9H1K0
P33151
Q68DV7
P35222
O43815
O43511
P08237
Q9HBM0
Q9Y5V3
A0A087WSW8
Q9UKQ2
Q6P4Q7
P42892
P05107
P27487
Q8TAD4
A0A0A0MTJ0
P01833
Q9Y5S1
Q16853
Q06481
Q13237
Q9H3S1
P02786
Q12884
Q12797
Q9HCE7
Q9HBX9
O75106
Q13433
Q04609
P08473
Q14244
O14672
Q9HAU4
P51795
X6R3Y6
P58743
P46459
Q9UQQ1
Q8NFM7
P08582
Q8NFT8
P35611
Q02156
Q9UPT5
Q9UBT7
O15259
P23276
A0A0A6YY98
Q92556
Q9H1D0
O00548
Q9BXC9
Q86UG4
Q8IWZ6
P07384
P55290
P51617
O94850
O00213
Q9UIG8
A0A024R5I4
Q6UWL6
Q8NE01
Q04759
Q9UEY8
O60353
Q96NY7
P23469
Q96QV1
P17655
Q6ZRP7
Q9UKU0
P05129
Q9UBH6
Q9BR39
P56696
Q9H461
Q08188
P16452
Q8IV61
O95436
Q9NR80
P51801
Q13586
P24723
Q155Q3
Q96AC1
Q9BQL6
Q05655
Q9UGP4
P51787
Q9UJS0
Q8N3R9
P51813
A0A0A0MSK4
A6NDB9
Q8TDF6
Q8NCG7
Q13976
P05771
Q8N7J2
Q96C24
Q92581
Q9BX79
Q9NPG1
Q7Z5R6
O75326
Q13613
P18054
Q9UJ14
Q9HDC5
Q06187
Q15256
Q8WWI5
Q9NY59
Q9UNQ0
Q08357
Q96N96
Q14680
Q9UGH3
Q9UNN5
P51170
Q86X29
Q6P5W5
Q9UP38
P43121
Q9NZU1
Q9Y5R2
Q8TC92
P51168
G3V0H7
P43405
P42680
Q9H4E7
P31645
Q13421
Q96JJ6
Q96RF0
Q9BTN0
P43681
P13796
Q96NE9
Q96FE5
Q01959
P43403
Q8WY07
Q13585
Q96RU3
P22303
O15354
Q16206
Q6NV75
Q7LDG7
P51512
Q86WA9
Q5T0N5
Q9ULZ9
Q13496
Q86VL8
Q07065
Q8WWT9
Q15642
P30531
Q9UHI7
Q15046
Q9Y5X1
P35240
P03372
Q9Y267
P61764
Q15833
Q03431
O76083
Q9NP91
O00186
P32455
Q8N8S7
P49023
P34947
P15311
Q9UH65
Q13467
Q6J4K2
P07357
Q86YR6
P35241
O43280
Q9ULW2
Q9GZV3
Q9GZU1
P51654
Q8N158
Q14699
Q7Z7A4
P26038
Q5T2T1
P21589
O75084
Q96JW4
Q15942
P78333
P25100
Q86UT5
Q9NP59
Q9NPH3
Q9NS93
P36268
P19440
A0A0A0MRI5
P49281
Q15124
P37173
Q96T49
O95196
Q14332
Q9H6X2
Q9Y5S8
Q4U2R8
Q9NPA2
Q8IYJ3
Q86SQ6
P02748
P35052
Q8N4S9
P15391
O15530
Q01638
O75487
Q9Y5Y0
Q9Y625
O15245
P25705
O95838
O60291
Q8WTV0
Q6ZMI3
Q9Y226
P49190
Q9NSA0
P49279
Q9NQS3
Q9Y694
Q8IWB1
Q969I6
Q96DZ5
Q86SU0
Q13153
Q8TDN2
Q9NZN4
Q8NA29
P07947
Q8TCC7
O00294
Q8TAM2
Q6ZMH5
Q86Y22
Q9HCC8
Q9Y2I2
Q96IF1
Q13884
Q8WUG5
P55259
P06241
P12931
P05187
Q9UHI5
Q9NZN3
Q13564
Q9BSA4
Q9H4M9
Q16518
P10696
Q14451
Q7RTT9
Q6X4W1
Q96CW9
P09769
P06576
P09923
Q96I34
P78348
P42681
Q96KK3
J3KPD6
P05186
Q9C0H2
O15403
Q16625
Q9Y5X5
P78329
O95498
P35368
Q9NVN3
Q02928
Q96RK4
Q8TDN1
Q15223
P07510
Q07001
Q92536
Q8TF71
Q8IVJ1
P47870
Q16515
Q13705
Q9UM01
Q7RTX9
P06239
Q04771
P38567
Q9NZ20
P14672
Q8NFU1
P19235
A0A0A0MRG0
Q8N9M5
P07237
Q9UGQ3
Q01650
Q9Y6M5
Q96GZ6
P36896
O15375
P51451
Q13424
P32297
Q8N441
O95907
Q96AD5
P36897
P36544
P56817
P11230
Q16647
P53985
Q13557
Q15389
Q9BT92
P48167
Q7L591
Q6ZMJ2
Q5MY95
Q15825
P54578
Q8NER5
Q04844
O15393
P11166
Q15043
Q8NFT2
Q6UX01
P58335
Q6XR72
P54284
J3KNU1
Q495M3
O60883
P31751
O15519
P31749
Q9BTU6
Q9UGM1
Q14790
O60669
P46098
P40123
P08588
P47871
Q96NX5
Q86UR1
Q15654
Q96PL5
Q01518
Q12891
P28472
P21554
Q9H295
Q9BUZ4
Q8TDT2
O94921
Q92504
P30532
P41586
Q8IYB5
P21917
P49768
P48546
P35348
Q13283
O15427
O75311
P18825
Q9HD26
P31146
Q16602
Q6XZB0
Q687X5
Q16790
Q5GH77
P01730
P23415
P32241
Q99808
A5X5Y0
P19438
Q86TP1
O14764
Q13418
P23416
Q8WWY8
Q969F2
Q9H313
P08913
Q96B86
Q13509
Q9GZZ6
Q9NS86
P32239
Q8WXA8
P48050
P34998
Q7Z699
O43614
P14416
P14384
Q9BX97
P24530
O95264
Q86UN2
P47872
Q15084
Q5T442
O43556
A0A0A0MR17
Q96CW1
Q9Y6H8
Q8NGU9
Q6DN72
P06733
Q13685
Q14500
O00141
Q969Z4
Q9GZQ6
P00505
Q14254
O75955
P25101
Q6ZVN8
Q9HB89
Q96RD7
Q8WXS5
O43613
Q9HB19
Q9UKS6
P11801
Q9UL52
Q9NYM4
P08908
Q9UGI8
Q9BQS2
P49841
Q8TDV0
Q9BZJ6
P31323
Q93038
P05981
Q5JXX5
Q86YD1
Q99519
Q9NRD5
P07550
O43193
P29274
J3KNQ4
Q13702
Q14623
P16444
O95665
P21128
P32121
Q53GL0
P05154
Q9Y5X3
Q9NNX6
P11309
P13861
Q9HB21
P60484
Q9NZH0
Q96A59
O43739
Q99418
P36507
P15509
Q9H2X3
Q15438
Q86XQ3
Q9H228
Q969F8
P21452
P15291
P36383
Q7L5Y9
Q9NQS5
Q9Y5Y4
Q7Z6J2
Q9NR22
Q86YT9
Q9UIA0
Q02750
Q8NBR0
Q92838
P30872
Q6NZI2
P30559
Q8WVF1
Q13508
P15812
Q13639
P31391
O75781
P43119
P15309
Q96RI0
P35613
P30550
Q9GZN0
P25929
Q7Z418
Q8NFJ6
O95977
Q9NP85
P17302
Q9NPF8
P49146
P50552
P41145
Q8IYR6
Q9UNW8
P27361
Q86WV6
P32248
Q99500
Q8TCT9
Q15049
Q5NUL3
P41231
Q9NRZ7
Q8NFA2
P08571
P50391
Q96G91
P30679
Q8TDU9
O75689
Q8WUP2
Q9NS66
Q9BYG5
Q9H1C0
P41143
P32302
P30518
P49683
Q9NZU7
P60893
Q96KN9
P41146
Q99719
Q13319
A0A087WU53
Q86YD3
P51582
Q8NHU3
P04439
P55899
P13746
Q92633
P35346
Q9HBI1
Q31612
P50052
P00813
Q96P69
P30460
P46092
P01889
Q31610
P46093
Q29836
P30480
P30486
P32249
O00155
Q8N8Q9
Q8NE79
P34972
P25025
Q8NH94
P28482
P35236
Q86VZ1
Q86WV1
P29992
O75563
P30556
Q13258
Q99678
Q9BY21
Q9GZK3
Q8NFJ5
P32246
P49238
Q9H665
P04899
P19087
P63096
Q9BPV8
P08754
P46663
Q9NYT0
P25089
Q15722
P51681
P02760
P61073
P17612
P18848
Q9P1P5
P25090
Q9HBW0
P06729
P22694
O75695
Q8NH67
P21730
Q9NPB9
P47211
Q8NH00
Q96R28
Q8NGS6
Q9NPB6
Q8NGC1
Q9NZD1
P54826
Q8NGL6
O00421
P21731
Q96AM1
P25105
Q7Z4I7
Q95460
Q8N3I7
Q8ND76
P53365
P56937
Q86UW1
Q7Z6L0
Q96RJ0
Q9UJ42
Q15599
Q9Y271
Q9UDY4
Q5UAW9
Q8NGF0
P25445
Q8TDV5
P15813
Q2I0M4
Q96CH1
Q9BXC1
Q15390
Q14330
O95278
P46089
O15552
Q8NGR9
A0A0A6YY99
Q7RTP0
Q8NH70
Q15077
Q9BYB4
Q9H341
P33032
Q08334
P48059
Q6IF00
Q8NH85
P12429
P55087
Q08722
P47887
Q8NGX2
P41968
P47893
Q8NGK1
P47888
Q8NGI2
Q9UKL4
A6NMS3
Q9Y3N9
Q8IW00
Q8NH53
Q8NGS7
Q8NG76
Q6IF63
Q96HD9
Q9NQN1
Q8NGQ4
Q8NGG5
Q6IF42
Q8NGH5
Q8NGN0
Q8NGS5
Q9H346
O15162
Q8NGZ5
Q8NGK5
Q5JQS5
Q8NH59
J3KPH0
O14788
Q8NGY6
P27216
Q8N0Y3
Q8NGM1
Q8NGR3
Q7Z614
P30519
Q6IEZ7
P47881
Q96R30
Q8NHB1
Q8NH02
Q8NGA6
Q8NH83
P58181
Q8NGX3
Q93070
Q8NGV7
Q8NGL3
Q9Y6M0
Q8NG97
Q8NGK2
Q8NGK0
Q8NGE9
Q96RD3
P58173
